Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   Egz.   
Vardas386           Pavarde386          7      7      5      3      5      3      8      2      6      8      2      
Vardas387           Pavarde387          10     5      10     6      7      8      4      4      8      7      5      
Vardas388           Pavarde388          2      3      5      3      3      8      10     2      3      10     3      
Vardas389           Pavarde389          8      8      7      6      8      3      5      8      2      3      5      
Vardas390           Pavarde390          7      7      9      1      1      1      5      2      7      9      9      
Vardas391           Pavarde391          4      7      3      10     9      10     9      6      6      9      2      
Vardas392           Pavarde392          10     10     3      7      10     8      2      1      10     3      2      
Vardas393           Pavarde393          9      7      7      6      4      8      10     8      3      10     7      
Vardas394           Pavarde394          8      9      7      1      4      10     2      5      5      9      3      
Vardas395           Pavarde395          8      5      2      4      7      3      5      10     4      6      8      
Vardas396           Pavarde396          7      10     1      1      8      10     1      10     9      10     10     
Vardas397           Pavarde397          6      3      9      2      6      8      8      6      10     3      5      
Vardas398           Pavarde398          2      1      6      10     4      5      2      10     1      5      5      
Vardas399           Pavarde399          3      10     4      5      5      9      8      2      4      2      4      
Vardas400           Pavarde400          3      1      3      10     6      7      5      4      2      5      7      
Vardas401           Pavarde401          4      1      5      3      9      10     2      4      6      6      3      
Vardas402           Pavarde402          9      8      10     8      10     1      4      6      3      10     1      
Vardas403           Pavarde403          4      3      10     7      6      10     10     1      6      2      10     
Vardas404           Pavarde404          1      2      3      8      5      4      2      1      1      5      5      
Vardas405           Pavarde405          6      8      10     6      7      3      3      1      4      10     10     
Vardas406           Pavarde406          6      9      4      5      1      6      3      3      6      10     5      
Vardas407           Pavarde407          3      1      1      5      2      1      3      8      10     10     10     
Vardas408           Pavarde408          9      9      4      7      10     9      1      6      1      5      5      
Vardas409           Pavarde409          6      5      2      6      1      3      3      8      9      3      1      
Vardas410           Pavarde410          9      9      7      5      3      1      5      9      4      8      1      
Vardas411           Pavarde411          4      3      10     6      7      6      5      2      6      2      7      
Vardas412           Pavarde412          10     3      1      7      10     5      1      3      6      10     1      
Vardas413           Pavarde413          7      2      6      1      3      9      9      8      4      6      3      
Vardas414           Pavarde414          5      2      1      2      8      3      10     9      6      5      6      
Vardas415           Pavarde415          4      2      6      2      6      1      1      7      6      4      1      
Vardas416           Pavarde416          6      8      9      10     4      6      8      1      1      6      5      
Vardas417           Pavarde417          10     4      10     8      5      9      8      4      5      4      2      
Vardas418           Pavarde418          7      10     10     6      9      2      9      8      9      7      10     
Vardas419           Pavarde419          3      8      6      2      2      9      4      3      10     10     1      
Vardas420           Pavarde420          7      2      3      1      6      1      4      6      5      3      3      
Vardas421           Pavarde421          4      6      6      1      10     5      4      7      2      3      9      
Vardas422           Pavarde422          1      1      2      7      8      4      6      1      4      7      7      
Vardas423           Pavarde423          5      6      4      4      5      4      4      10     3      10     8      
Vardas424           Pavarde424          2      4      1      6      6      4      6      2      8      9      8      
Vardas425           Pavarde425          8      2      8      10     2      10     6      4      2      10     3      
Vardas426           Pavarde426          6      4      6      5      7      3      9      1      1      5      5      
Vardas427           Pavarde427          1      2      2      1      9      10     10     3      1      2      8      
Vardas428           Pavarde428          9      9      2      3      3      8      4      9      6      10     9      
Vardas429           Pavarde429          5      4      6      5      10     2      1      9      6      5      10     
Vardas430           Pavarde430          3      10     1      5      7      8      3      8      1      4      1      
Vardas431           Pavarde431          5      9      7      9      9      7      9      5      8      5      8      
Vardas432           Pavarde432          4      8      1      9      1      9      5      7      9      2      8      
Vardas433           Pavarde433          5      7      3      8      8      6      5      7      1      9      1      
Vardas434           Pavarde434          7      2      2      8      8      9      7      2      1      10     1      
Vardas435           Pavarde435          8      7      6      9      3      1      2      5      2      6      8      
Vardas436           Pavarde436          3      5      5      2      7      6      3      7      6      2      10     
Vardas437           Pavarde437          8      7      3      5      3      2      6      1      8      3      6      
Vardas438           Pavarde438          1      6      9      4      5      4      4      9      7      10     9      
Vardas439           Pavarde439          7      1      2      3      10     7      1      4      3      7      4      
Vardas440           Pavarde440          1      4      7      6      3      5      5      5      8      4      1      
Vardas441           Pavarde441          5      9      7      4      4      5      1      10     6      2      1      
Vardas442           Pavarde442          10     1      2      2      7      8      7      4      9      5      3      
Vardas443           Pavarde443          2      1      2      7      4      6      8      3      3      9      9      
Vardas444           Pavarde444          2      1      1      1      7      5      5      10     8      2      5      
Vardas445           Pavarde445          4      2      9      10     1      5      1      2      4      1      5      
Vardas446           Pavarde446          9      9      10     5      4      2      6      10     9      8      5      
Vardas447           Pavarde447          3      7      1      6      7      7      5      9      5      2      4      
Vardas448           Pavarde448          9      2      9      1      2      9      8      7      3      3      8      
Vardas449           Pavarde449          1      8      1      2      3      10     6      7      9      8      1      
Vardas450           Pavarde450          5      1      5      7      1      3      7      2      4      8      10     
Vardas451           Pavarde451          6      1      8      8      10     6      6      7      9      8      1      
Vardas452           Pavarde452          7      7      2      9      10     10     7      7      10     5      9      
Vardas453           Pavarde453          9      6      9      6      10     3      8      8      5      9      7      
Vardas454           Pavarde454          6      1      5      5      1      2      2      5      6      8      3      
Vardas455           Pavarde455          6      8      6      8      9      1      8      3      6      4      5      
Vardas456           Pavarde456          6      2      2      2      4      7      7      8      7      4      9      
Vardas457           Pavarde457          5      5      8      1      8      4      4      9      8      8      7      
Vardas458           Pavarde458          6      9      4      3      10     8      6      4      5      5      3      
Vardas459           Pavarde459          7      8      6      10     9      7      10     6      4      6      3      
Vardas460           Pavarde460          2      10     5      3      1      4      5      7      5      9      6      
Vardas461           Pavarde461          1      9      9      8      9      2      4      9      1      6      2      
Vardas462           Pavarde462          1      4      7      8      9      10     8      4      1      3      7      
Vardas463           Pavarde463          7      3      8      3      10     1      3      1      5      8      2      
Vardas464           Pavarde464          5      9      10     10     9      3      1      9      1      10     2      
Vardas465           Pavarde465          6      5      7      5      1      2      9      8      8      4      1      
Vardas466           Pavarde466          10     9      3      10     8      4      9      5      4      5      5      
Vardas467           Pavarde467          1      5      4      4      9      5      3      6      5      10     3      
Vardas468           Pavarde468          6      5      1      4      4      9      10     6      2      10     3      
Vardas469           Pavarde469          1      4      7      9      8      7      3      7      10     4      8      
Vardas470           Pavarde470          5      8      8      1      4      2      2      9      10     10     2      
Vardas471           Pavarde471          3      6      3      3      3      9      7      2      8      4      7      
Vardas472           Pavarde472          2      8      10     9      1      4      5      8      6      7      4      
Vardas473           Pavarde473          2      9      5      9      4      2      10     3      4      4      10     
Vardas474           Pavarde474          6      3      10     2      8      2      4      4      1      8      1      
Vardas475           Pavarde475          1      8      5      10     8      7      10     1      6      8      8      
Vardas476           Pavarde476          6      2      3      6      10     7      2      1      6      9      9      
Vardas477           Pavarde477          3      5      1      5      2      9      3      7      2      1      7      
Vardas478           Pavarde478          3      10     8      2      4      5      3      4      9      2      3      
Vardas479           Pavarde479          3      10     6      5      2      6      6      4      9      3      10     
Vardas480           Pavarde480          3      10     2      4      4      9      1      5      8      7      7      
Vardas481           Pavarde481          9      3      1      4      10     4      7      6      9      4      2      
Vardas482           Pavarde482          7      2      2      5      4      2      8      8      7      7      3      
Vardas483           Pavarde483          8      10     4      7      1      4      9      4      5      7      4      
Vardas484           Pavarde484          8      10     5      3      7      5      6      3      9      2      9      
Vardas485           Pavarde485          2      1      4      4      1      10     7      8      8      1      7      
Vardas486           Pavarde486          5      8      7      5      8      5      1      3      3      4      8      
Vardas487           Pavarde487          5      7      4      4      3      4      10     6      6      4      1      
Vardas488           Pavarde488          4      5      4      8      9      1      7      3      1      6      8      
Vardas489           Pavarde489          3      4      10     9      6      4      7      7      5      9      7      
Vardas490           Pavarde490          1      3      9      7      9      2      8      10     7      5      5      
Vardas491           Pavarde491          9      2      1      8      2      7      8      9      4      9      3      
Vardas492           Pavarde492          6      1      10     6      4      2      4      10     5      3      5      
Vardas493           Pavarde493          9      6      4      4      1      4      2      2      5      8      5      
Vardas494           Pavarde494          10     7      3      7      8      1      3      9      8      1      5      
Vardas495           Pavarde495          10     6      9      8      2      8      8      3      2      5      7      
Vardas496           Pavarde496          8      1      9      1      8      2      10     9      8      1      1      
Vardas497           Pavarde497          1      6      7      2      3      1      10     2      10     4      8      
Vardas498           Pavarde498          5      1      7      5      10     3      10     1      10     9      10     
Vardas499           Pavarde499          5      8      8      7      5      10     8      10     4      2      6      
Vardas500           Pavarde500          6      7      6      6      2      8      9      2      7      4      9      
Vardas501           Pavarde501          1      9      8      5      4      1      5      10     9      9      1      
Vardas502           Pavarde502          6      1      9      4      7      4      7      7      2      9      6      
Vardas503           Pavarde503          6      3      2      1      2      4      7      8      8      3      5      
Vardas504           Pavarde504          3      9      6      1      7      4      9      1      6      9      3      
Vardas505           Pavarde505          3      1      3      10     2      5      10     7      5      3      2      
Vardas506           Pavarde506          6      6      8      4      4      6      3      2      10     7      8      
Vardas507           Pavarde507          9      9      1      4      6      10     4      4      10     8      5      
Vardas508           Pavarde508          6      7      6      1      1      4      6      5      5      6      7      
Vardas509           Pavarde509          5      3      10     2      4      4      7      10     5      2      5      
Vardas510           Pavarde510          6      7      9      6      7      9      4      10     1      8      10     
Vardas511           Pavarde511          10     8      4      5      3      4      4      5      2      5      7      
Vardas512           Pavarde512          9      2      6      7      7      7      8      10     6      9      8      
Vardas513           Pavarde513          1      2      2      3      6      9      5      8      8      9      10     
Vardas514           Pavarde514          1      6      1      3      8      6      6      3      3      4      9      
Vardas515           Pavarde515          2      1      9      2      4      8      4      5      2      10     2      
Vardas516           Pavarde516          1      2      7      9      5      7      5      4      1      7      6      
Vardas517           Pavarde517          4      4      8      9      10     6      10     10     6      3      7      
Vardas518           Pavarde518          1      4      6      1      5      10     4      2      1      1      6      
Vardas519           Pavarde519          9      1      1      5      8      1      4      7      5      4      2      
Vardas520           Pavarde520          1      3      8      6      1      6      6      10     9      3      2      
Vardas521           Pavarde521          4      3      3      6      1      6      1      4      3      7      10     
Vardas522           Pavarde522          5      10     5      3      10     2      1      4      4      8      10     
Vardas523           Pavarde523          9      6      10     7      6      1      4      10     9      10     8      
Vardas524           Pavarde524          10     6      1      1      4      4      4      5      4      10     1      
Vardas525           Pavarde525          10     6      8      6      9      2      5      6      6      7      3      
Vardas526           Pavarde526          6      5      5      7      10     9      10     6      8      6      1      
Vardas527           Pavarde527          4      8      5      7      6      9      2      8      10     8      1      
Vardas528           Pavarde528          6      4      5      8      8      1      3      1      3      6      10     
Vardas529           Pavarde529          3      9      10     6      10     7      10     5      2      5      1      
Vardas530           Pavarde530          10     9      3      1      1      4      10     7      4      9      3      
Vardas531           Pavarde531          7      7      2      3      9      9      2      9      7      4      8      
Vardas532           Pavarde532          5      9      8      5      5      3      7      2      6      6      7      
Vardas533           Pavarde533          4      10     4      5      1      5      4      4      1      6      4      
Vardas534           Pavarde534          2      2      3      3      6      5      9      1      1      3      3      
Vardas535           Pavarde535          5      6      6      5      8      3      8      3      8      3      8      
Vardas536           Pavarde536          2      5      5      2      1      1      7      4      4      10     1      
Vardas537           Pavarde537          5      1      9      8      6      3      7      5      10     4      6      
Vardas538           Pavarde538          8      3      6      5      3      6      5      7      4      3      5      
Vardas539           Pavarde539          7      8      2      9      6      7      4      7      6      10     3      
Vardas540           Pavarde540          2      2      7      10     8      8      7      9      5      5      2      
Vardas541           Pavarde541          7      2      10     6      8      5      5      9      4      1      9      
Vardas542           Pavarde542          1      10     7      7      5      1      9      7      3      9      10     
Vardas543           Pavarde543          3      8      4      6      8      7      5      5      1      4      8      
Vardas544           Pavarde544          9      10     8      2      5      3      7      10     8      2      4      
Vardas545           Pavarde545          10     10     2      9      5      6      1      2      1      8      9      
Vardas546           Pavarde546          3      4      4      2      2      6      1      5      7      1      7      
Vardas547           Pavarde547          8      8      6      8      7      9      1      2      8      3      9      
Vardas548           Pavarde548          8      10     2      3      4      9      8      4      7      2      1      
Vardas549           Pavarde549          2      5      6      5      10     2      1      1      10     10     2      
Vardas550           Pavarde550          8      9      10     6      6      10     10     4      4      2      4      
Vardas551           Pavarde551          3      8      10     1      9      3      3      4      5      2      9      
Vardas552           Pavarde552          5      2      5      7      1      6      4      4      5      4      5      
Vardas553           Pavarde553          1      6      9      2      2      10     5      8      8      3      9      
Vardas554           Pavarde554          9      7      3      10     10     7      9      2      2      9      2      
Vardas555           Pavarde555          3      8      2      10     3      6      1      5      1      1      10     
Vardas556           Pavarde556          6      2      2      7      6      1      1      6      7      3      6      
Vardas557           Pavarde557          10     10     7      4      1      8      2      7      7      6      5      
Vardas558           Pavarde558          3      1      2      3      3      5      4      5      4      2      2      
Vardas559           Pavarde559          1      9      10     1      6      7      5      10     9      2      7      
Vardas560           Pavarde560          6      4      2      8      8      10     8      4      8      2      7      
Vardas561           Pavarde561          4      1      4      6      6      7      3      8      10     8      2      
Vardas562           Pavarde562          3      7      9      6      7      3      8      1      6      7      8      
Vardas563           Pavarde563          5      3      1      4      6      10     10     3      3      3      4      
Vardas564           Pavarde564          5      5      5      10     1      8      3      9      4      8      6      
Vardas565           Pavarde565          9      6      9      9      3      8      9      2      3      8      4      
Vardas566           Pavarde566          9      5      4      2      4      3      9      3      10     7      1      
Vardas567           Pavarde567          10     1      4      9      8      4      9      9      9      7      1      
Vardas568           Pavarde568          4      4      10     7      4      9      3      2      6      2      4      
Vardas569           Pavarde569          8      1      10     4      5      10     2      2      10     8      8      
Vardas570           Pavarde570          1      7      3      9      5      1      1      2      1      3      2      
Vardas571           Pavarde571          3      3      2      1      7      7      4      5      5      5      5      
Vardas572           Pavarde572          6      9      9      5      4      4      7      5      1      2      7      
Vardas573           Pavarde573          4      5      5      1      2      6      9      9      3      8      8      
Vardas574           Pavarde574          5      10     7      2      3      7      6      5      6      7      4      
Vardas575           Pavarde575          10     4      9      5      9      4      4      5      10     7      8      
Vardas576           Pavarde576          6      9      9      10     8      1      4      9      4      8      4      
Vardas577           Pavarde577          3      7      4      3      6      9      8      10     10     8      9      
Vardas578           Pavarde578          5      5      9      3      5      4      3      1      1      10     5      
Vardas579           Pavarde579          4      5      8      4      7      8      3      4      1      8      10     
Vardas580           Pavarde580          6      3      5      8      9      2      9      4      1      10     10     
Vardas581           Pavarde581          7      1      9      7      3      10     10     5      4      9      3      
Vardas582           Pavarde582          4      4      6      5      3      7      8      9      6      5      3      
Vardas583           Pavarde583          10     1      8      1      4      9      6      7      7      1      3      
Vardas584           Pavarde584          6      7      6      2      6      8      3      8      1      10     5      
Vardas585           Pavarde585          5      4      1      4      1      3      2      5      2      9      5      
Vardas586           Pavarde586          3      1      4      4      9      9      9      1      10     6      5      
Vardas587           Pavarde587          6      3      4      9      9      4      4      7      8      2      1      
Vardas588           Pavarde588          4      3      9      3      4      2      4      6      2      1      1      
Vardas589           Pavarde589          9      2      8      8      10     10     3      10     10     10     4      
Vardas590           Pavarde590          1      4      1      8      5      9      6      1      7      6      4      
Vardas591           Pavarde591          9      4      6      9      6      9      3      3      4      4      3      
Vardas592           Pavarde592          6      6      6      5      7      10     4      4      5      5      8      
Vardas593           Pavarde593          5      10     4      7      1      1      5      6      6      4      8      
Vardas594           Pavarde594          7      9      6      10     4      7      5      10     1      1      10     
Vardas595           Pavarde595          8      9      9      1      10     9      10     2      6      6      5      
Vardas596           Pavarde596          5      8      5      2      3      7      10     6      9      7      2      
Vardas597           Pavarde597          4      3      5      3      8      3      9      1      6      8      2      
Vardas598           Pavarde598          7      9      3      6      2      9      6      10     3      3      2      
Vardas599           Pavarde599          5      5      2      7      5      8      8      1      2      4      2      
Vardas600           Pavarde600          6      9      3      6      8      7      4      1      4      7      1      
Vardas601           Pavarde601          6      1      4      9      8      7      10     8      7      7      1      
Vardas602           Pavarde602          6      10     9      1      3      2      8      7      9      2      10     
Vardas603           Pavarde603          7      8      10     10     9      7      5      10     3      7      10     
Vardas604           Pavarde604          6      1      4      10     6      5      8      3      4      8      2      
Vardas605           Pavarde605          6      3      5      10     1      3      7      1      1      6      2      
Vardas606           Pavarde606          4      3      9      9      5      5      2      9      4      7      8      
Vardas607           Pavarde607          10     6      10     10     6      2      7      1      7      9      3      
Vardas608           Pavarde608          9      6      1      5      10     8      10     6      9      2      10     
Vardas609           Pavarde609          10     7      7      6      5      5      2      4      9      9      7      
Vardas610           Pavarde610          3      3      7      7      7      4      5      7      5      8      1      
Vardas611           Pavarde611          4      8      7      6      5      7      1      4      7      5      3      
Vardas612           Pavarde612          7      9      3      5      2      8      9      5      1      2      1      
Vardas613           Pavarde613          9      3      8      4      6      3      9      7      3      5      9      
Vardas614           Pavarde614          10     5      4      6      8      1      1      1      6      9      5      
Vardas615           Pavarde615          3      7      10     2      2      7      10     9      9      9      1      
Vardas616           Pavarde616          4      1      3      4      7      2      4      9      3      2      3      
Vardas617           Pavarde617          7      2      10     9      8      9      10     5      4      3      10     
Vardas618           Pavarde618          1      7      8      2      4      7      2      5      3      8      4      
Vardas619           Pavarde619          2      7      1      3      10     6      5      7      7      2      10     
Vardas620           Pavarde620          1      6      3      7      5      5      3      1      6      10     7      
Vardas621           Pavarde621          1      5      9      7      10     9      6      2      7      10     2      
Vardas622           Pavarde622          8      8      5      5      6      7      10     10     5      4      2      
Vardas623           Pavarde623          7      6      5      8      3      9      2      4      1      4      5      
Vardas624           Pavarde624          6      9      1      7      9      7      4      4      4      2      1      
Vardas625           Pavarde625          8      9      2      3      3      7      5      3      5      2      8      
Vardas626           Pavarde626          2      8      2      8      5      10     9      6      4      4      8      
Vardas627           Pavarde627          2      2      1      3      1      7      8      2      6      6      8      
Vardas628           Pavarde628          3      7      4      4      2      2      10     8      5      8      1      
Vardas629           Pavarde629          3      8      9      8      7      9      9      3      9      1      2      
Vardas630           Pavarde630          7      4      10     2      6      5      4      2      9      9      6      
Vardas631           Pavarde631          10     8      10     1      6      4      9      6      4      10     6      
Vardas632           Pavarde632          1      6      9      9      1      5      9      2      9      4      4      
Vardas633           Pavarde633          5      1      5      5      2      8      5      5      10     3      8      
Vardas634           Pavarde634          1      9      1      10     9      4      6      1      9      8      7      
Vardas635           Pavarde635          4      10     1      10     3      7      1      10     7      2      9      
Vardas636           Pavarde636          5      5      3      9      10     4      10     1      1      5      9      
Vardas637           Pavarde637          8      2      8      10     10     3      6      1      1      2      4      
Vardas638           Pavarde638          4      7      4      10     3      1      10     6      5      4      5      
Vardas639           Pavarde639          8      7      1      2      2      4      7      10     1      1      5      
Vardas640           Pavarde640          1      8      10     6      7      10     2      1      2      1      1      
Vardas641           Pavarde641          6      6      9      6      6      2      3      5      8      7      8      
Vardas642           Pavarde642          2      8      10     6      5      2      1      5      9      3      7      
Vardas643           Pavarde643          5      8      7      4      2      10     5      4      2      2      2      
Vardas644           Pavarde644          1      7      10     1      5      8      2      6      7      3      6      
Vardas645           Pavarde645          3      10     6      5      7      5      4      4      10     8      2      
Vardas646           Pavarde646          6      8      10     10     6      4      8      4      9      7      5      
Vardas647           Pavarde647          9      3      7      2      10     7      6      8      2      10     5      
Vardas648           Pavarde648          2      10     8      5      7      10     7      4      2      6      4      
Vardas649           Pavarde649          8      6      4      6      9      7      7      8      8      4      7      
Vardas650           Pavarde650          9      7      1      5      5      2      1      4      2      10     5      
Vardas651           Pavarde651          5      2      2      6      4      7      8      5      5      3      3      
Vardas652           Pavarde652          7      9      5      6      1      7      3      8      6      2      4      
Vardas653           Pavarde653          7      4      1      3      9      9      6      4      7      1      3      
Vardas654           Pavarde654          3      7      2      3      5      1      10     10     5      5      7      
Vardas655           Pavarde655          7      2      10     3      9      10     9      3      10     7      10     
Vardas656           Pavarde656          5      10     3      3      3      1      2      6      5      10     9      
Vardas657           Pavarde657          3      1      5      9      2      9      5      9      6      9      2      
Vardas658           Pavarde658          7      1      2      6      3      7      5      1      8      2      8      
Vardas659           Pavarde659          10     10     4      7      5      9      1      4      3      8      1      
Vardas660           Pavarde660          2      2      2      5      1      5      2      8      7      2      6      
Vardas661           Pavarde661          7      2      5      6      1      1      4      6      1      10     7      
Vardas662           Pavarde662          1      3      1      8      7      6      1      8      1      7      1      
Vardas663           Pavarde663          5      8      10     6      8      9      10     10     9      5      9      
Vardas664           Pavarde664          3      9      3      2      3      7      4      3      5      2      1      
Vardas665           Pavarde665          8      3      7      10     5      2      5      9      5      7      7      
Vardas666           Pavarde666          6      5      2      4      10     8      7      4      7      1      4      
Vardas667           Pavarde667          3      8      5      6      2      4      6      8      5      10     3      
Vardas668           Pavarde668          5      1      6      8      2      2      10     10     4      5      5      
Vardas669           Pavarde669          10     7      1      2      3      3      8      1      10     2      3      
Vardas670           Pavarde670          7      6      4      7      8      5      8      3      7      5      10     
Vardas671           Pavarde671          8      4      6      1      7      4      3      6      2      4      7      
Vardas672           Pavarde672          8      4      3      9      9      10     6      9      3      1      10     
Vardas673           Pavarde673          7      5      2      6      5      7      9      9      1      2      3      
Vardas674           Pavarde674          1      5      3      6      1      6      4      7      8      3      9      
Vardas675           Pavarde675          4      5      6      4      9      2      6      10     8      7      7      
Vardas676           Pavarde676          9      5      5      4      3      1      4      5      9      10     7      
Vardas677           Pavarde677          10     1      1      7      7      7      7      8      1      1      10     
Vardas678           Pavarde678          5      1      10     8      3      10     3      2      3      7      8      
Vardas679           Pavarde679          2      10     1      8      1      1      9      1      10     8      10     
Vardas680           Pavarde680          5      6      10     2      7      1      6      5      8      1      6      
Vardas681           Pavarde681          3      6      4      1      6      9      3      8      1      3      10     
Vardas682           Pavarde682          9      3      3      7      7      1      8      4      3      6      6      
Vardas683           Pavarde683          2      6      10     5      6      10     4      7      9      7      10     
Vardas684           Pavarde684          4      5      6      1      9      9      6      7      4      2      5      
Vardas685           Pavarde685          8      10     4      9      2      6      4      5      10     4      4      
Vardas686           Pavarde686          9      10     10     2      5      8      3      9      2      1      7      
Vardas687           Pavarde687          7      5      8      10     9      1      2      4      5      4      10     
Vardas688           Pavarde688          2      8      7      5      6      8      6      5      4      2      1      
Vardas689           Pavarde689          1      10     8      5      8      1      1      1      10     10     4      
Vardas690           Pavarde690          7      5      5      4      9      7      5      2      10     5      4      
Vardas691           Pavarde691          1      3      7      8      7      7      3      3      2      2      10     
Vardas692           Pavarde692          9      9      4      7      3      8      10     4      4      5      4      
Vardas693           Pavarde693          4      6      10     6      10     5      9      6      1      2      2      
Vardas694           Pavarde694          2      2      1      5      2      4      8      7      8      10     9      
Vardas695           Pavarde695          5      7      3      8      6      8      9      2      1      6      8      
Vardas696           Pavarde696          3      1      2      8      1      7      2      7      1      10     6      
Vardas697           Pavarde697          1      10     9      4      9      4      6      7      1      6      10     
Vardas698           Pavarde698          6      4      9      3      10     6      1      3      4      8      4      
Vardas699           Pavarde699          4      7      2      6      9      4      10     7      9      9      8      
Vardas700           Pavarde700          10     1      6      10     10     1      4      9      4      1      8      
Vardas701           Pavarde701          8      8      2      3      3      5      7      7      4      5      10     
Vardas702           Pavarde702          1      6      4      3      3      9      2      3      6      1      3      
Vardas703           Pavarde703          10     4      10     2      5      3      4      6      1      1      6      
Vardas704           Pavarde704          6      3      8      7      10     8      2      4      1      8      3      
Vardas705           Pavarde705          10     5      2      10     7      9      6      2      5      10     7      
Vardas706           Pavarde706          4      4      9      8      1      3      8      2      8      9      9      
Vardas707           Pavarde707          4      1      5      2      7      2      3      10     2      7      7      
Vardas708           Pavarde708          6      3      4      7      9      9      7      9      7      9      7      
Vardas709           Pavarde709          10     8      2      4      1      5      1      4      7      6      9      
Vardas710           Pavarde710          1      2      7      7      3      5      1      3      6      3      2      
Vardas711           Pavarde711          7      4      5      10     3      10     8      9      1      9      4      
Vardas712           Pavarde712          7      7      4      1      5      7      5      1      3      7      6      
Vardas713           Pavarde713          7      3      2      4      10     5      4      1      8      1      8      
Vardas714           Pavarde714          2      7      5      3      1      9      9      8      2      3      3      
Vardas715           Pavarde715          1      8      3      6      6      1      1      7      8      2      7      
Vardas716           Pavarde716          7      8      2      4      2      8      6      8      2      10     5      
Vardas717           Pavarde717          2      5      7      10     9      4      10     6      2      1      8      
Vardas718           Pavarde718          7      4      5      7      10     1      10     7      1      4      8      
Vardas719           Pavarde719          2      9      3      5      8      7      7      9      9      2      10     
Vardas720           Pavarde720          8      2      9      2      1      5      7      4      3      10     7      
Vardas721           Pavarde721          8      6      2      7      6      8      6      9      4      2      2      
Vardas722           Pavarde722          6      1      9      4      9      3      4      2      6      4      6      
Vardas723           Pavarde723          7      3      10     7      3      9      8      7      1      3      8      
Vardas724           Pavarde724          2      6      2      2      5      9      4      3      1      5      4      
Vardas725           Pavarde725          3      9      9      5      1      3      8      2      8      10     4      
Vardas726           Pavarde726          6      4      5      9      7      7      1      6      6      9      2      
Vardas727           Pavarde727          10     5      6      1      3      7      5      3      9      2      10     
Vardas728           Pavarde728          9      7      7      10     8      3      2      9      7      8      5      
Vardas729           Pavarde729          6      5      3      10     2      3      5      7      10     10     10     
Vardas730           Pavarde730          5      8      8      10     4      4      5      1      10     6      9      
Vardas731           Pavarde731          6      5      10     3      5      10     8      2      8      6      6      
Vardas732           Pavarde732          9      9      3      2      10     10     6      2      1      7      4      
Vardas733           Pavarde733          6      5      7      10     8      10     7      1      9      1      6      
Vardas734           Pavarde734          1      5      10     4      9      1      5      10     7      8      1      
Vardas735           Pavarde735          7      3      10     8      9      1      4      5      3      3      10     
Vardas736           Pavarde736          3      6      10     6      8      3      6      8      2      4      6      
Vardas737           Pavarde737          9      6      3      10     2      9      7      1      7      4      6      
Vardas738           Pavarde738          8      4      10     9      3      7      10     2      9      9      8      
Vardas739           Pavarde739          6      4      2      8      3      6      4      8      6      9      2      
Vardas740           Pavarde740          4      1      2      7      1      9      9      10     2      2      4      
Vardas741           Pavarde741          1      4      2      10     8      10     4      7      7      6      4      
Vardas742           Pavarde742          6      3      9      6      1      10     10     1      5      3      5      
Vardas743           Pavarde743          3      6      10     1      9      4      6      3      2      8      7      
Vardas744           Pavarde744          2      10     2      5      6      3      5      3      3      6      5      
Vardas745           Pavarde745          8      6      9      6      5      8      7      4      7      8      2      
Vardas746           Pavarde746          3      7      7      9      9      9      7      9      1      2      3      
Vardas747           Pavarde747          2      3      5      7      7      5      6      6      3      5      7      
Vardas748           Pavarde748          3      1      4      9      8      4      2      7      5      6      1      
Vardas749           Pavarde749          2      6      2      4      6      3      2      4      5      10     1      
Vardas750           Pavarde750          5      6      2      8      3      7      8      8      10     8      1      
Vardas751           Pavarde751          10     7      2      6      1      4      2      5      2      2      5      
Vardas752           Pavarde752          3      6      3      3      6      6      5      2      3      4      4      
Vardas753           Pavarde753          5      2      1      6      2      2      3      3      7      10     10     
Vardas754           Pavarde754          7      2      10     3      7      6      9      2      1      6      3      
Vardas755           Pavarde755          5      8      10     8      5      6      4      1      5      4      3      
Vardas756           Pavarde756          1      9      10     5      2      2      9      3      7      10     1      
Vardas757           Pavarde757          8      3      2      2      2      3      6      6      3      9      6      
Vardas758           Pavarde758          6      1      3      2      9      2      7      6      5      1      2      
Vardas759           Pavarde759          8      10     2      1      4      2      1      7      9      1      5      
Vardas760           Pavarde760          2      6      9      8      1      1      4      8      4      10     1      
Vardas761           Pavarde761          1      3      3      8      3      3      7      1      9      10     7      
Vardas762           Pavarde762          4      8      10     2      8      7      6      8      5      9      5      
Vardas763           Pavarde763          8      4      4      5      2      8      10     10     3      7      4      
Vardas764           Pavarde764          5      1      8      9      10     8      10     10     4      7      9      
Vardas765           Pavarde765          5      5      6      1      6      4      7      2      9      6      7      
Vardas766           Pavarde766          5      6      1      9      1      1      8      2      8      4      4      
Vardas767           Pavarde767          9      2      1      6      7      6      7      6      8      2      10     
Vardas768           Pavarde768          8      4      2      5      3      6      2      3      3      1      8      
Vardas769           Pavarde769          9      5      6      3      3      4      7      8      7      1      8      
Vardas770           Pavarde770          6      8      7      5      2      10     4      1      6      4      2      
Vardas771           Pavarde771          6      7      10     8      4      9      5      8      6      3      5      
Vardas772           Pavarde772          10     10     1      1      9      2      9      2      1      10     5      
